item_id,item_type
159901,3
159902,3
159903,3
159905,3
159906,3
160105,2
160106,2
160119J,2
160211,2
160215,2
160311,2
160314,2
160505,2
160512,2
160607,2
160610,2
160611,2
160613,2
160615,2
160616,2
160617,2
160706J,2
160716,2
160717,2
160805,2
160807,2
160910,2
160915,2
161005,2
161010,2
161115,2
161211J,2
161213,2
161216,2
161607,2
161610,2
161706,2
161714,2
161810,2
161811J,2
161813,2
161903J,2
161907,2
162006,2
162207,2
162307,2
162605,2
162607,2
162703,2
162711,2
163001J,2
163302,2
163402,2
163407,2
163503,2
163801,2
164105,2
164205J,2
164808,2
164902,2
165309,2
165508,2
165509,2
166001,2
166006J,2
166007,2
166008,2
166009,2
