股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
600004,白云机场,G,0.9614
600005,武钢股份,C,1.1158
600006,东风汽车,C,0.7372
600007,中国国贸,K,1.5883
600008,首创股份,D,1.3122
600009,上海机场,G,1.9494
600010,包钢股份,C,0.7162
600017,日照港,G,1.6054
600019,宝钢股份,C,1.1576
600020,中原高速,G,1.1135
600021,上海电力,D,0.8823
600022,山东钢铁,C,1.0809
600031,三一重工,C,1.5238
600033,福建高速,G,0.9777
600035,楚天高速,G,1.1021
600037,歌华有线,I,1.7685
600038,中直股份,C,1.9324
600048,保利地产,K,0.2135
600050,中国联通,I,0.7638
600051,宁波联合,F,1.58
600052,浙江广厦,K,2.2039
600053,九鼎投资,K,1.8521
600056,中国医药,C,1.5619
600057,象屿股份,L,2.5216
600058,五矿发展,F,2.1728
600060,海信电器,C,0.1636
600062,华润双鹤,C,0.3674
600063,皖维高新,C,1.414
600064,南京高科,K,1.1402
600066,宇通客车,C,0.5823
600067,冠城大通,K,0.1826
600069,银鸽投资,C,1.5285
600072,中船科技,C,5.2123
600073,上海梅林,C,4.1059
600074,保千里,C,-0.2023
600075,新疆天业,C,1.4383
600076,康欣新材,C,1.5966
600077,宋都股份,K,0.2949
600078,澄星股份,C,1.2585
600079,人福医药,C,1.0942
600080,金花股份,C,0.4665
600081,东风科技,C,2.1655
600082,海泰发展,S,1.8677
600083,博信股份,C,0.9337
600084,中葡股份,C,0.6496
600085,同仁堂,C,0.6636
600086,东方金钰,C,1.0185
600088,中视传媒,R,3.706
600089,特变电工,C,2.9871
600093,易见股份,C,0.8396
600095,哈高科,C,1.8035
600096,云天化,C,1.3329
600097,开创国际,A,1.7854
600098,广州发展,D,1.3876
600099,林海股份,C,1.6431
600100,同方股份,C,1.1139
600101,明星电力,D,0.5743
600103,青山纸业,C,1.4502
600104,上汽集团,C,1.2075
600105,永鼎股份,C,0.6025
600106,重庆路桥,G,1.2636
600107,美尔雅,C,2.3255
600108,亚盛集团,A,2.8969
600110,诺德股份,C,1.0955
600111,北方稀土,C,2.7632
600114,东睦股份,C,0.8836
600116,三峡水利,D,1.0191
600117,西宁特钢,C,1.63
600118,中国卫星,C,2.2846
600119,长江投资,G,5.6568
600120,浙江东方,F,1.5906
600121,*ST郑煤,B,2.1085
600122,宏图高科,F,1.6918
600123,兰花科创,B,2.4004
600125,铁龙物流,G,1.0306
600126,杭钢股份,C,2.323
600127,金健米业,C,0.7931
600128,弘业股份,F,1.946
600130,波导股份,C,1.0706
600131,岷江水电,D,0.5921
600132,重庆啤酒,C,1.6599
600136,当代明诚,F,1.8244
600137,浪莎股份,C,0.9382
600138,中青旅,L,0.7295
600139,西部资源,B,1.9951
600141,兴发集团,C,1.4229
600143,金发科技,C,1.6058
600145,*ST新亿,C,1.7739
600148,长春一东,C,2.1174
600149,*ST坊展,S,2.9256
600150,中国船舶,C,2.0789
600151,航天机电,C,2.5166
600152,维科精华,C,1.8201
600153,建发股份,F,1.7194
600156,华升股份,C,0.3107
600157,永泰能源,B,2.4175
600158,中体产业,K,0.0769
600159,大龙地产,K,-0.1371
600160,巨化股份,C,2.0958
600161,天坛生物,C,1.0974
600162,香江控股,K,1.3538
600165,新日恒力,C,0.1925
600166,福田汽车,C,0.7157
600167,联美控股,D,0.183
600168,武汉控股,D,0.3835
600169,太原重工,C,1.7385
600171,上海贝岭,C,2.8691
600172,黄河旋风,C,1.1274
600173,卧龙地产,K,1.7138
600175,美都能源,F,2.4885
600176,中国巨石,C,0.7895
600177,雅戈尔,C,1.5288
600178,东安动力,C,2.4455
600179,安通控股,C,1.6911
600180,瑞茂通,F,-0.8134
600182,S佳通,C,0.509
600183,生益科技,C,1.096
600184,光电股份,C,1.7926
600185,格力地产,K,1.5767
600186,莲花健康,C,1.3779
600187,国中水务,D,-0.9741
600189,吉林森工,C,0.9101
600191,华资实业,C,1.0423
600192,长城电工,C,0.0455
600193,创兴资源,B,1.5801
600195,中牧股份,C,1.0795
600197,伊力特,C,1.5783
600198,大唐电信,C,2.2173
600199,金种子酒,C,1.2256
600200,江苏吴中,S,0.1253
600202,哈空调,C,1.9234
600206,有研新材,C,0.801
600207,安彩高科,D,0.7872
600208,新湖中宝,K,0.5991
600213,亚星客车,C,1.5017
600215,长春经开,K,1.0052
600216,浙江医药,C,1.6696
600217,中再资环,C,1.4691
600218,全柴动力,C,1.7267
600219,南山铝业,C,1.0832
600220,江苏阳光,C,0.131
600223,鲁商置业,K,1.3157
600225,*ST松江,K,2.501
