股票代码_StkCd,证监会行业门类代码_CsrcICCd1
600004,G
600005,C
600006,C
600007,L
600008,D
600009,G
600010,C
600017,G
600018,G
600019,C
600020,G
600021,D
600022,C
600031,C
600033,G
600035,G
600037,I
600048,K
600050,I
600051,S
600052,K
600053,K
600055,C
600057,O
600058,F
600059,C
600060,C
600062,C
600063,C
600064,K
600066,C
600067,C
600069,C
600070,C
600071,C
600072,C
600073,C
600074,C
600075,C
600076,C
600077,K
600078,C
600079,C
600080,C
600081,C
600082,K
600083,C
600084,C
600085,C
600086,C
600087,G
600088,R
600089,C
600090,C
600091,C
600093,C
600095,C
600097,A
600098,D
600099,C
600100,I
600101,D
600103,C
600104,C
600105,C
600106,G
600107,C
600108,A
600110,C
600111,C
600112,C
600113,K
600114,C
600116,D
600117,C
600120,F
600122,F
600123,B
600125,G
600126,C
600127,C
600128,F
600129,C
600130,C
600131,D
600132,C
600133,S
600135,C
600136,F
600137,C
600138,L
600139,B
600141,C
600143,C
600146,C
600148,C
600149,C
600150,C
600152,C
600153,F
600156,C
600158,O
600159,K
600160,C
600161,C
600162,K
600165,C
600166,C
600167,D
600168,D
600169,C
600171,C
600172,C
600173,K
600175,S
600176,C
600177,C
600178,C
600180,A
600182,C
600183,C
600184,C
600185,K
600186,C
600187,D
600189,A
600191,C
600195,C
600199,C
600200,C
600201,C
600202,C
600203,C
600206,C
600207,C
600208,K
600209,S
600210,C
600211,C
600212,D
600213,C
600215,K
600216,C
600217,C
600218,C
600219,C
600220,C
600222,C
600223,K
600225,K
600226,C
600227,C
600228,C
600229,C
600230,C
600231,C
600232,C
600233,C
600234,F
600235,C
600236,D
600238,C
600239,K
600240,K
600241,C
600242,A
600243,C
600247,F
600249,C
600251,C
600252,C
600255,C
600256,K
600257,A
600258,H
600259,B
600260,C
600261,C
600262,C
600265,A
600266,K
600268,C
600269,G
600270,G
600271,C
600273,C
600276,C
600277,C
600278,F
600279,G
600280,F
600281,C
600282,C
600283,D
600285,C
600287,F
600289,I
600290,C
600292,D
600293,C
600297,C
600299,C
600300,C
600301,C
600302,C
600303,C
600305,C
600306,F
600307,C
600308,C
600309,C
600310,D
600311,C
600312,C
600313,A
600315,C
600316,C
600317,G
600319,C
600321,C
600322,K
600323,D
600325,K
600327,F
600328,C
600329,C
600330,C
600331,C
600333,D
600335,C
600336,C
600337,F
600339,C
600340,K
600343,C
600345,C
600346,C
600348,B
600350,G
600351,C
600353,C
600354,A
600355,C
600356,C
600358,L
600359,A
600360,C
600361,F
600363,C
600365,C
600366,C
600367,C
600368,G
600370,C
600371,A
600375,C
600376,K
600378,C
600379,C
600380,C
600381,C
600382,F
600383,K
600385,C
600386,R
600387,G
600388,C
600389,C
600390,C
600391,C
600393,K
600395,B
600397,B
600398,C
600399,C
600400,C
600401,C
600403,B
600405,C
600406,I
600408,C
600409,C
600410,I
600415,S
600416,C
600418,C
600420,C
600421,C
600423,C
600425,C
600426,C
600429,C
600432,C
600433,C
600435,C
600438,C
600439,C
600448,C
600456,C
600458,C
600459,C
600460,C
600461,D
600463,K
600466,C
600467,A
600468,C
600469,C
600470,C
600475,C
600476,I
600479,C
600480,C
600482,C
600483,C
600485,C
600486,C
600487,C
600488,C
600489,B
600490,C
600493,C
600495,C
600497,B
600498,C
600501,C
600503,K
600505,D
600506,A
600507,C
600508,B
600510,C
600511,F
600513,C
600515,F
600516,C
600518,C
600519,C
600520,C
600521,C
600522,C
600525,C
600526,C
600527,C
600529,C
600530,C
600531,C
600532,C
600533,K
600535,C
600536,I
600537,C
600538,C
600539,C
600540,A
600543,C
600546,B
600547,B
600549,C
600550,C
600551,R
600552,C
600557,C
600558,C
600559,C
600560,C
600561,G
600562,C
600563,C
600566,C
600567,C
600568,C
600569,C
600570,I
600571,I
600572,C
600573,C
600575,G
600576,K
600577,C
600580,C
600581,C
600582,C
600583,B
600584,C
600586,C
600587,C
600589,C
600590,C
600592,C
600593,L
600594,C
600595,C
600596,C
600597,C
600598,A
600601,C
600605,C
600606,K
600609,C
600615,K
600616,C
600620,S
600621,C
600622,S
600624,S
600626,C
600628,F
600630,C
600636,C
600637,I
600638,K
600640,I
600641,K
600642,D
600644,D
600645,M
600647,S
600649,S
600651,C
600652,S
600653,S
600654,C
600655,F
600657,K
600658,K
600661,S
600662,N
600664,C
600665,K
600666,C
600667,C
600668,C
600673,C
600674,D
600675,K
600676,C
600677,C
600681,R
600682,F
600683,K
600684,K
600686,C
600690,C
600691,C
600692,G
600693,F
600694,F
600696,K
600697,F
600699,C
600702,C
600703,C
600704,F
600706,I
600707,C
600708,G
600710,C
600711,S
600713,F
600714,B
600715,C
600716,K
600717,G
600719,D
600720,C
600721,F
600722,C
600723,F
600724,K
600725,C
600727,C
600728,I
600730,F
600731,C
600732,K
600733,K
600734,K
600736,K
600737,C
600739,F
600740,C
600741,C
600742,C
600743,K
600744,D
600745,K
600746,C
600747,C
600748,K
600749,L
600750,C
600755,F
600756,I
600757,R
600758,D
600759,K
600760,C
600761,C
600763,Q
600764,C
600765,C
600766,K
600767,K
600768,C
600770,S
600771,C
600773,K
600774,F
600777,S
600778,F
600781,C
600782,C
600783,C
600784,C
600785,F
600787,G
600789,C
600790,S
600791,K
600792,C
600793,C
600794,G
600795,D
600796,C
600797,I
600798,G
600800,C
600802,C
600804,I
600805,S
600807,K
600809,C
600810,C
600812,C
600821,F
600823,K
600824,F
600825,F
600828,F
600829,C
600830,F
600831,R
600832,S
600833,F
600834,N
600836,C
600838,F
600839,C
600846,S
600847,C
600850,C
600854,C
600855,C
600856,F
600857,F
600858,F
600859,F
600861,F
600862,C
600863,D
600864,D
600865,F
600866,C
600867,C
600868,S
600869,C
600870,C
600872,S
600873,C
600877,C
600879,C
