item_id,unadjusted_var,adjusted_var
600005,-1.04,-1.5
600006,-0.53,-0.74
600007,-0.7,-0.99
600008,-2.01,-2.99
600009,-1.47,-1.74
600010,-2.27,-3.35
600017,-2.43,-3.53
600019,-0.49,-0.66
600020,-0.73,-1.08
600021,-0.43,-0.6
600033,-2.96,-4.41
600035,-0.38,-0.56
600037,-0.61,-0.88
600048,-2.25,-2.97
600050,-3.0,-4.53
600051,-0.93,-1.28
600052,-3.5,-5.29
600053,-1.27,-1.63
600055,-2.63,-3.25
600057,-3.29,-4.52
600059,-8.24,-12.58
600060,-3.0,-4.17
600062,-4.11,-7.63
600063,-4.26,-5.76
600064,-1.44,-1.87
600066,-2.43,-3.38
600067,-5.65,-8.17
600069,-2.46,-3.46
600070,-2.72,-3.3
600071,-3.88,-4.61
600072,-2.79,-3.3
600073,-5.21,-8.31
600074,-2.94,-3.69
600075,-1.15,-1.48
600076,-2.71,-3.69
600077,-1.49,-1.79
600078,-4.06,-4.99
600079,-3.85,-5.03
600080,-4.14,-5.84
600081,-2.75,-3.08
600082,-2.46,-3.42
600083,-1.09,-1.49
600084,-2.03,-2.33
600085,-1.89,-2.51
600086,-3.64,-5.62
600087,-4.6,-6.44
600088,-0.5,-0.68
600089,-5.24,-7.36
600090,-2.17,-2.78
600091,-3.09,-4.3
600093,-1.35,-1.47
600095,-2.01,-2.28
600097,-2.63,-3.09
600098,-3.67,-4.41
600100,-1.98,-2.59
600101,-2.99,-4.69
600103,-4.27,-5.77
600104,-1.01,-1.51
600105,-4.28,-5.72
600106,-3.05,-3.77
600107,-3.36,-4.52
600108,-3.45,-4.26
600110,-1.67,-2.15
600111,-1.42,-1.75
600112,-23.74,-36.37
600113,-7.02,-8.85
600114,-2.3,-3.2
600116,-4.67,-5.87
600117,-6.08,-7.56
600120,-1.99,-2.92
600122,-2.46,-3.18
600123,-1.36,-1.92
600125,-12.12,-17.58
600126,-2.53,-3.7
600127,-0.82,-1.2
600128,-1.68,-2.09
600129,-3.87,-5.49
600130,-2.09,-2.58
600131,-0.98,-1.17
600132,-2.4,-3.14
600136,-3.68,-4.62
600137,-3.47,-4.5
600138,-3.41,-4.03
600139,-4.19,-5.98
600141,-6.24,-9.26
600143,-7.13,-10.05
600146,-3.54,-4.36
600149,-3.13,-3.91
600150,-2.01,-2.43
600152,-9.49,-12.72
600153,-3.28,-4.76
