股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
000004,国农科技,C,0.9573
000005,世纪星源,K,0.9994
000006,深振业A,K,1.0687
000007,全新好,H,1.2605
000008,神州高铁,H,0.8888
000009,中国宝安,S,1.084
000010,美丽生态,C,-0.1486
000014,沙河股份,K,1.5487
000021,深科技,C,1.5115
000023,深天地A,C,0.7973
000027,深圳能源,D,0.554
000031,中粮地产,K,0.9861
000032,深桑达A,C,1.3627
000033,新都退,H,1.1309
000034,神州数码,S,0.6322
000035,中国天楹,C,-0.2876
000038,深大通,K,1.756
000040,东旭蓝天,K,0.7578
000042,中洲控股,K,0.5255
000043,中航地产,K,1.2333
000046,泛海控股,K,1.276
000048,康达尔,C,1.022
000049,德赛电池,C,0.1158
000059,华锦股份,C,1.3411
000060,中金岭南,C,1.1608
000061,农产品,L,1.5919
000062,深圳华强,L,1.2752
000066,中国长城,C,1.1594
000068,华控赛格,C,0.7686
000069,华侨城A,N,1.1288
000070,特发信息,C,1.1298
000078,海王生物,F,1.1329
000088,盐田港,G,0.8002
000089,深圳机场,G,0.7361
000096,广聚能源,F,1.1753
000099,中信海直,G,1.1942
000100,TCL集团,C,0.3394
000150,宜华健康,K,1.0948
000151,中成股份,F,0.4358
000156,华数传媒,R,-0.6736
000158,常山股份,C,0.9223
000159,国际实业,F,1.4276
000301,东方市场,D,0.7724
000400,许继电气,C,1.557
000401,冀东水泥,C,0.8246
000402,金融街,K,0.8451
000403,ST生化,C,-0.0266
000404,华意压缩,C,1.0677
000407,胜利股份,C,0.8898
000408,藏格控股,F,1.2039
000409,山东地矿,B,1.8434
000410,*ST沈机,C,1.1153
000415,渤海金控,L,1.1764
000417,合肥百货,F,1.5273
000419,通程控股,F,1.0302
000420,吉林化纤,C,0.5449
000421,南京公用,S,0.9238
000422,湖北宜化,C,1.4334
000423,东阿阿胶,C,0.6506
000425,徐工机械,C,0.9825
000426,兴业矿业,B,1.4357
000428,华天酒店,H,1.4767
000430,张家界,N,1.0721
000501,鄂武商A,F,0.7119
000502,绿景控股,K,1.1268
000503,海虹控股,I,1.1544
000504,南华生物,R,0.5919
000506,中润资源,K,1.0873
000507,珠海港,G,1.3838
000510,金路集团,C,1.6037
000511,*ST烯碳,K,0.2384
000514,渝开发,K,1.0654
000516,国际医学,F,1.0427
000517,荣安地产,K,0.7485
000518,四环生物,C,0.9741
000519,中兵红箭,C,1.5934
000523,广州浪奇,C,1.463
000524,岭南控股,H,1.0893
000525,红太阳,C,1.2063
000526,*ST紫学,K,1.5532
000528,柳工,C,0.9791
000529,广弘控股,C,1.1321
000531,穗恒运A,D,1.385
000533,万家乐,C,1.0155
000534,万泽股份,K,1.0573
000536,华映科技,C,0.6808
000538,云南白药,C,0.4702
000540,中天金融,K,1.3544
000543,皖能电力,D,0.8133
000544,中原环保,D,0.9059
000545,金浦钛业,C,1.6966
000548,湖南投资,G,1.2999
000551,创元科技,S,1.3055
000552,靖远煤电,B,1.0364
000554,泰山石油,F,1.1005
000555,神州信息,C,1.3516
000559,万向钱潮,C,1.5021
000561,烽火电子,C,1.3367
000564,供销大集,F,0.9005
000565,渝三峡A,C,1.1007
000566,海南海药,C,1.2651
000567,海德股份,K,0.6161
000568,泸州老窖,C,0.6591
000571,新大洲A,B,0.6808
000572,海马汽车,C,1.5188
000573,粤宏远A,K,0.8601
000576,广东甘化,C,1.233
000582,北部湾港,G,0.7276
000584,友利控股,C,0.7469
000586,汇源通信,C,1.0565
000587,金洲慈航,C,0.7804
000589,黔轮胎A,C,0.7984
000590,启迪古汉,C,1.174
000591,太阳能,F,1.0123
000592,平潭发展,A,1.2017
000593,大通燃气,F,1.017
000594,国恒退,F,0.8257
000595,*ST宝实,C,1.2067
000597,东北制药,C,1.0555
000598,兴蓉环境,D,0.6956
000599,青岛双星,C,0.9056
000601,韶能股份,D,0.7269
000603,盛达矿业,B,1.2293
000605,渤海股份,C,0.5178
000606,神州易桥,C,1.7825
000608,阳光股份,K,0.6234
000609,绵石投资,K,1.2747
000610,西安旅游,N,0.3117
000611,天首发展,C,0.7516
000612,焦作万方,C,1.0909
000615,京汉股份,C,0.8222
000616,海航投资,K,0.7795
000617,中油资本,C,0.9419
000619,海螺型材,C,1.3363
000620,新华联,K,0.7449
000622,恒立实业,C,1.0186
000623,吉林敖东,C,1.5427
000626,远大控股,F,1.1264
000629,*ST钒钛,B,1.3382
000630,铜陵有色,C,1.0765
000631,顺发恒业,K,1.1064
000632,三木集团,F,0.7817
000633,合金投资,C,0.2635
000635,英力特,C,1.3938
000636,风华高科,C,1.2949
000637,茂化实华,C,0.882
000638,万方发展,F,1.5185
000639,西王食品,C,1.1122
000650,仁和药业,C,1.4947
000651,格力电器,C,0.4111
000652,泰达股份,F,1.054
000655,金岭矿业,B,1.4153
000656,金科股份,K,1.0712
000657,中钨高新,C,1.6889
000659,*ST中富,C,1.1028
000661,长春高新,C,0.5778
000662,天夏智慧,C,0.8126
000663,永安林业,A,1.5086
000665,湖北广电,R,1.5286
000667,美好置业,K,0.6576
000669,金鸿能源,D,0.6164
000671,阳光城,K,0.8093
000672,上峰水泥,F,0.0726
000673,当代东方,R,1.0022
000676,智度股份,C,0.8233
000677,恒天海龙,C,0.3868
000678,襄阳轴承,C,1.1126
000679,大连友谊,F,0.6808
000680,山推股份,C,1.2121
000681,视觉中国,I,1.3211
000682,东方电子,C,0.9367
000683,远兴能源,C,0.8789
000685,中山公用,D,1.5158
000687,华讯方舟,C,1.1891
000688,建新矿业,B,0.2138
000690,宝新能源,D,0.5173
000691,ST亚太,K,0.7587
000692,惠天热电,D,0.4246
000695,滨海能源,D,1.3436
000697,炼石有色,B,1.8845
000700,模塑科技,C,1.1321
000701,厦门信达,F,1.2672
000702,正虹科技,C,0.8408
000703,恒逸石化,C,0.9415
000705,浙江震元,F,0.7604
000707,双环科技,C,1.1675
000708,大冶特钢,C,1.1412
000709,河钢股份,C,0.7234
000711,京蓝科技,K,0.9827
000713,丰乐种业,A,0.9135
000715,中兴商业,F,0.6765
000716,黑芝麻,C,0.856
000717,韶钢松山,C,0.4871
000718,苏宁环球,K,1.1656
000719,大地传媒,R,1.2327
000720,新能泰山,D,0.7378
000721,西安饮食,H,1.2388
000722,湖南发展,D,1.5239
000723,美锦能源,C,1.4076
000729,燕京啤酒,C,0.6553
000731,四川美丰,C,1.2356
000732,泰禾集团,K,0.7507
000733,振华科技,C,1.0922
000736,中房地产,K,0.9031
000737,南风化工,C,1.3083
000738,航发控制,C,1.3921
000739,普洛药业,C,1.3935
000748,长城信息,C,1.3403
000752,西藏发展,C,1.1016
000753,漳州发展,F,1.1005
000755,*ST三维,C,1.1848
000757,浩物股份,C,0.5811
000758,中色股份,B,1.4801
000759,中百集团,F,0.9047
000760,斯太尔,C,0.3962
000762,西藏矿业,B,1.1552
000766,通化金马,C,0.6055
000767,漳泽电力,D,0.5436
000768,中航飞机,C,1.4428
000777,中核科技,C,1.1611
000778,新兴铸管,C,0.8152
000779,三毛派神,C,1.294
