股票代码_StkCd,证监会行业门类代码_CsrcICCd1
000004,C
000005,K
000006,K
000009,S
000010,C
000014,K
000021,C
000027,D
000031,K
000032,C
000036,K
000042,K
000043,K
000046,K
000049,C
000050,C
000059,C
000060,C
000061,L
000062,L
000069,N
000070,C
000078,F
000088,G
000089,G
000096,F
000099,G
000100,C
000151,F
000153,C
000155,C
000156,R
000158,C
000159,F
000301,D
000333,C
000400,C
000401,C
000402,K
000404,C
000407,C
000408,F
000409,B
000410,C
000411,F
000415,L
000417,F
000419,F
000420,C
000421,D
000422,C
000423,C
000425,C
000428,H
000430,N
000501,F
000503,I
000506,K
000507,G
000509,C
000510,C
000514,K
000516,F
000517,K
000523,C
000524,H
000525,C
000528,C
000531,D
000532,S
000533,C
000537,K
000538,C
000544,D
000546,C
000547,C
000548,G
000551,S
000552,B
000554,F
000555,I
000557,C
000559,C
000560,F
000561,C
000565,C
000568,C
000572,C
000573,K
000576,C
000582,G
000584,C
000587,C
000589,C
000591,F
000593,F
000597,C
000598,D
000599,C
000600,D
000605,D
000609,K
000610,N
000611,C
000612,C
000615,C
000616,K
000617,C
000619,C
000620,K
000623,C
000629,B
000631,K
000632,F
000635,C
000636,C
000637,C
000638,F
000639,C
000651,C
000652,F
000656,K
000659,C
000661,C
000662,C
000663,A
000667,K
000671,K
000678,C
000680,C
000681,R
000682,C
000685,D
000687,C
000690,D
000692,D
000695,D
000698,C
000701,F
000702,C
000703,C
000705,F
000710,C
000713,A
000715,F
000717,C
000718,K
000719,R
000721,H
000722,D
000723,C
000727,C
000729,C
000731,C
000733,C
000735,A
000736,K
000738,C
000739,C
000751,C
000752,C
000753,F
000755,C
000757,C
000758,B
000759,F
000762,B
000767,D
000768,C
000777,C
000780,B
000785,F
000789,C
000790,C
000791,D
000792,C
000796,H
000797,K
000798,A
000800,C
000801,C
000802,N
000803,C
000807,C
000809,N
000810,C
000811,C
000815,C
000816,C
000819,C
000821,C
000822,C
000823,C
000825,C
000826,N
000828,G
000829,F
000830,C
000831,C
000835,C
000836,C
000837,C
000838,K
000848,C
000852,C
000856,C
000859,C
000860,C
000861,L
000868,C
000875,D
000877,C
000880,C
000883,D
000885,C
000886,K
000888,N
000895,C
000897,K
000899,D
000900,G
000902,C
000905,G
000906,F
000908,C
000909,S
000910,C
000911,C
000912,C
000913,C
000915,C
000916,G
000918,K
000919,C
000920,C
000922,C
000923,C
000925,C
000926,K
000929,C
000930,C
000931,S
000933,C
000935,C
000936,C
000937,B
000948,I
000949,C
000950,C
000951,C
000953,C
000955,C
000957,C
000958,D
000960,C
000962,C
000965,K
000966,D
000967,C
000968,C
000969,C
000970,C
000973,C
000975,B
000976,C
000977,C
000978,N
000983,B
000985,C
000987,F
000988,C
000989,C
000993,D
000997,I
000998,A
000999,C
002004,C
002006,C
002007,C
002008,C
002009,C
002010,C
002011,C
002013,C
002016,K
002017,C
002019,C
002021,C
002022,C
002023,C
002024,F
002025,C
002028,C
002029,C
002031,C
002032,C
002033,N
002034,C
002035,C
002036,C
002037,C
002038,C
002039,D
002041,A
002042,C
002046,C
002048,C
002049,C
002050,C
002053,C
002054,C
002055,C
002056,C
002058,C
002059,N
002063,I
002064,C
002065,I
002066,C
002067,C
002068,C
002071,R
002073,C
002074,C
002076,C
002078,C
002079,C
002083,C
002084,C
002085,C
002086,A
002087,C
002088,C
002089,C
002093,I
002095,I
002096,C
002098,C
002099,C
002100,C
002101,C
002104,C
002105,C
002107,C
002108,C
002111,C
002113,K
002114,C
002115,C
002117,C
002118,C
002119,C
002120,C
002122,C
002124,C
002125,C
002126,C
002128,B
002129,C
002130,C
002132,C
002133,K
002134,C
002136,C
002138,C
002139,C
002141,C
002144,C
002145,C
002146,K
002148,I
002151,C
002152,C
002153,I
002154,C
002155,B
002156,C
002157,C
002158,C
002160,C
002161,C
002162,C
002164,C
002165,C
002167,C
002168,C
002169,C
002171,C
002172,C
002175,C
002177,C
002178,M
002179,C
002180,C
002182,C
002184,C
002185,C
002186,H
002187,F
002188,C
002189,C
002190,C
002192,C
002193,C
002195,I
002196,C
002197,C
002198,C
002201,C
002204,C
002205,C
002206,C
002207,B
002208,K
002213,C
002215,C
002216,C
002217,C
002218,C
002220,C
002221,F
002222,C
002225,C
002227,C
002229,C
002230,I
002231,C
002232,I
002233,C
002234,A
002236,C
002237,C
002241,C
002243,C
002244,K
002245,G
002246,C
002249,C
002250,C
002251,F
002252,C
002253,I
002254,C
002255,C
002256,C
002258,C
002260,C
002261,I
002262,C
002263,C
002264,F
002266,C
002267,D
002270,C
002271,C
002273,C
002274,C
002275,C
002277,F
002279,I
002280,I
002281,C
002282,C
002283,C
002284,C
002285,K
002287,C
002290,C
002291,C
002293,C
002294,C
002295,C
002296,C
002297,C
002299,A
002300,C
002302,C
002304,C
002305,K
002311,C
002312,C
002315,I
002317,C
002318,C
002319,C
002321,A
002322,C
002323,C
002324,C
002326,C
002327,C
002328,C
002331,I
002332,C
002333,C
002334,C
002335,C
002337,C
002338,C
002339,C
002340,C
002341,C
002342,C
002344,L
002347,C
002349,C
002350,C
002351,C
002352,C
002355,C
002356,C
002358,C
002360,C
002361,C
002362,C
002363,C
002364,C
002365,C
002366,C
002371,C
002372,C
002373,I
002376,C
002378,C
002380,C
002381,C
002382,C
002383,C
002385,C
002386,C
002389,C
002390,C
002391,C
002393,C
002394,C
002395,C
002396,C
002397,C
002399,C
002400,L
002402,C
002403,C
002405,I
002407,C
002408,C
002410,I
002411,C
002415,C
002419,F
002420,C
002421,I
002422,C
002423,C
002424,C
002427,C
002428,C
002429,C
002430,C
002432,C
002433,C
002434,C
002437,C
002439,I
002440,C
002441,F
002442,C
002444,C
002446,C
002447,A
002448,C
002449,C
002450,C
002451,C
002454,C
002455,C
002456,C
002457,C
002458,A
002459,C
002460,C
002462,F
002463,C
002465,C
002466,C
002467,I
002469,M
002470,C
002472,C
002475,C
002476,C
002478,C
002479,D
002480,C
002484,C
002486,C
002487,C
002488,C
002489,C
002491,C
002492,G
002493,C
002494,C
002495,C
002496,C
002497,C
002501,C
002503,C
002505,A
002507,C
002508,C
002509,C
002510,C
002513,C
002515,C
002516,C
002517,C
002518,C
002519,C
002520,C
002521,C
002523,C
002526,C
002529,C
002531,C
002532,C
002533,C
002534,C
002536,C
002538,C
002539,C
002540,C
002541,C
002543,C
002547,C
002548,C
002550,C
002551,C
002552,C
002554,B
002555,C
002556,F
002559,C
002560,C
002561,F
002562,C
002563,C
002564,C
002565,C
002566,C
002567,C
002568,C
002569,C
002570,C
002572,C
002573,N
002576,C
002578,C
002579,C
002580,C
002583,C
002584,C
002585,C
002587,C
002588,C
002590,C
002592,C
002593,C
002595,C
002596,C
002597,C
002598,C
002599,C
002601,C
002603,C
002606,C
002607,F
002609,I
002611,C
002612,C
002613,C
002614,C
002615,C
002616,C
002618,C
002619,C
002621,C
002623,C
002625,C
002626,C
002627,G
002630,C
002631,C
002634,C
002635,C
002637,C
002640,F
002641,C
002642,I
002644,C
002645,C
002646,C
002648,C
002650,C
002651,C
002652,C
002653,C
002656,C
002657,I
002658,C
002660,C
002661,C
002664,C
002666,C
002674,C
002675,C
002678,C
002679,A
002681,C
002684,C
002685,C
002686,C
002687,C
002689,C
002690,C
002691,C
002692,C
002693,C
002694,C
002695,C
002696,A
002697,F
002698,C
002700,D
002701,C
002705,C
002707,L
002708,C
002709,C
002711,G
002714,A
002715,C
002718,C
002722,C
002723,C
002725,C
002726,C
300001,C
300002,I
300003,C
300004,C
300005,C
300006,C
300009,C
300011,C
300013,G
300014,C
300015,Q
300017,I
300018,C
300019,C
300021,C
300022,F
300023,C
300024,C
300025,I
300026,C
300029,C
300032,C
300033,I
300034,C
300036,I
300037,C
300038,C
300039,C
300040,C
300041,C
300042,C
300043,C
300044,I
300045,C
300046,C
300049,C
300050,I
300051,I
300053,C
300054,C
300059,I
300061,C
300062,C
300063,C
300065,C
300066,C
300067,C
300068,C
300069,C
300072,C
300073,C
300075,I
300077,C
300078,C
300079,C
300080,C
300081,F
300082,C
300085,I
300086,C
300088,C
300090,C
300091,C
300092,C
300095,C
300097,C
300098,I
300100,C
300101,C
300102,C
300103,C
300104,I
300105,C
300106,A
300107,C
300109,C
300111,C
300114,C
300115,C
300118,C
300119,C
300120,C
300121,C
300122,C
300124,C
300125,M
300126,C
300127,C
300128,C
300130,C
300132,C
300133,R
300136,C
300137,C
300138,C
300139,C
300140,C
300141,C
300146,C
300147,C
300151,C
300152,C
300153,C
300154,C
300156,C
300159,C
300160,C
300165,C
300166,I
300167,I
300170,I
300171,C
300172,N
300173,C
300174,C
300175,C
300176,C
300177,C
300179,C
300180,C
300181,C
300182,I
300183,I
300185,C
300186,C
300187,N
300191,B
300192,C
300193,C
300194,C
300198,C
300199,C
300200,C
300201,C
300202,C
300204,C
300205,C
300206,C
300207,C
300208,C
300210,C
300211,C
300213,C
300217,C
300218,C
300219,C
300220,C
300221,C
300223,C
300224,C
300225,C
300226,I
300227,C
300229,I
300231,I
300232,C
300233,C
300234,C
300235,I
300236,C
300237,C
300238,C
300239,C
300240,G
300241,C
300242,C
300243,C
300244,Q
300245,I
300246,C
300247,C
300248,I
300251,R
300252,C
300253,I
300254,C
300256,C
300257,C
300258,C
300259,C
300260,C
300264,I
300265,C
300267,C
300268,C
300270,C
300273,C
300274,C
300275,I
300276,C
300277,I
300281,C
300282,C
300283,C
300284,M
300285,C
300286,C
300289,C
300290,I
300292,C
