item_id,unadjusted_var,adjusted_var
000005,-4.56,-6.56
000006,-0.63,-0.92
000010,-1.54,-2.31
000021,-3.87,-5.38
000023,-1.73,-2.51
000031,-1.07,-1.62
000033,-0.89,-1.18
000034,-1.35,-2.12
000040,-4.64,-7.48
000042,-0.73,-1.04
000043,-4.64,-7.55
000046,-1.7,-2.67
000048,-1.47,-2.35
000049,-2.91,-4.97
000050,-17.46,-29.32
000060,-1.25,-1.83
000061,-1.46,-2.2
000062,-3.12,-4.3
000066,-6.23,-8.78
000068,-1.16,-1.85
000069,-2.0,-3.33
000070,-1.11,-1.76
000078,-3.7,-5.56
000088,-2.69,-4.03
000089,-1.83,-3.18
000096,-0.69,-1.03
000099,-2.13,-3.64
000100,-2.2,-3.31
000151,-0.67,-0.96
000153,-1.91,-2.8
000301,-2.71,-4.1
000400,-0.68,-1.09
000401,-10.92,-16.94
000402,-2.68,-4.06
000403,-1.03,-1.46
000409,-1.6,-2.38
000411,-1.34,-2.31
000419,-1.49,-2.15
000420,-1.98,-2.98
000423,-1.34,-1.9
000425,-8.87,-12.0
000426,-1.62,-2.19
000430,-2.22,-2.92
000501,-2.05,-2.72
000503,-2.65,-4.18
000506,-6.94,-11.27
000507,-1.21,-2.06
000509,-1.9,-2.93
000511,-2.92,-3.57
000516,-1.58,-2.5
000517,-2.67,-3.94
000518,-1.21,-1.79
000519,-0.97,-1.2
000523,-4.04,-4.8
000524,-3.1,-4.52
000525,-1.8,-2.59
000526,-4.73,-6.68
000529,-1.48,-1.99
000531,-2.31,-3.62
000532,-2.61,-3.62
000537,-1.12,-1.57
000540,-19.49,-31.59
000543,-1.72,-2.44
000544,-1.17,-1.77
000545,-3.0,-4.46
000551,-1.86,-2.97
000552,-3.46,-4.62
000554,-3.0,-4.12
000558,-2.46,-4.0
000561,-3.95,-6.0
000565,-2.61,-3.26
000566,-2.13,-2.94
000567,-3.44,-5.01
000568,-2.56,-3.66
000571,-3.96,-6.16
000572,-1.04,-1.54
000573,-1.37,-1.82
000576,-0.88,-1.47
000582,-2.61,-3.97
000584,-4.13,-5.67
000586,-3.79,-5.44
000590,-1.28,-1.8
000592,-4.62,-6.92
000593,-2.35,-4.05
000595,-1.72,-2.63
000598,-2.68,-3.86
000599,-1.73,-2.66
000600,-1.06,-1.89
000603,-1.0,-1.66
000605,-3.79,-5.16
000606,-5.52,-8.07
000608,-2.09,-3.27
000610,-1.99,-3.48
000611,-2.21,-2.59
000619,-2.17,-2.78
000620,-1.74,-2.54
000622,-2.23,-3.32
000623,-1.56,-2.16
000626,-4.08,-6.2
000629,-2.29,-3.31
000630,-0.47,-0.62
000631,-2.12,-3.32
000632,-1.57,-2.47
000635,-1.12,-1.72
000637,-2.28,-3.15
000638,-1.59,-2.43
000650,-4.75,-6.67
000651,-1.47,-2.06
000652,-8.03,-11.31
000655,-1.32,-2.0
000656,-1.81,-2.53
000657,-3.02,-4.38
000659,-3.81,-4.61
000665,-0.84,-1.24
000669,-0.28,-0.41
000671,-8.91,-12.59
000672,-2.96,-5.62
000677,-1.55,-1.89
000679,-1.06,-1.46
000680,-1.22,-1.65
000681,-0.78,-0.91
000685,-0.64,-1.05
000687,-2.58,-3.85
000688,-1.49,-2.68
000692,-0.98,-1.46
000693,-1.48,-2.3
000698,-4.26,-5.55
000701,-3.73,-5.88
000702,-4.21,-5.76
000703,-0.96,-1.38
000705,-2.49,-3.28
000707,-4.45,-6.1
000708,-1.09,-1.4
000709,-1.28,-1.86
000715,-0.42,-0.57
000716,-2.7,-5.0
000717,-3.72,-5.85
000718,-0.3,-0.43
000719,-1.33,-2.16
000721,-0.58,-0.88
000722,-2.18,-3.48
000723,-1.81,-2.58
000727,-2.15,-3.3
000731,-1.64,-2.3
000732,-2.96,-3.96
000733,-3.02,-4.65
000735,-3.19,-5.36
000736,-2.29,-3.44
000737,-1.69,-2.45
000738,-1.45,-2.0
000739,-4.24,-5.78
000752,-4.98,-10.2
000753,-2.49,-4.1
000755,-1.05,-1.5
000757,-0.89,-1.27
000758,-1.67,-2.37
000759,-3.18,-4.64
000760,-1.68,-2.68
000766,-4.07,-6.22
000768,-0.82,-1.3
000777,-2.55,-3.56
000778,-5.89,-7.66
000779,-1.2,-1.75
000780,-2.33,-3.46
000782,-0.96,-1.43
000786,-1.5,-2.11
000788,-4.07,-5.82
000789,-4.14,-6.66
000790,-2.62,-3.45
000791,-2.84,-4.13
000792,-1.77,-2.52
000795,-4.07,-6.28
000796,-2.26,-3.18
000799,-2.85,-4.33
000800,-3.58,-4.66
000801,-3.63,-5.99
000803,-5.12,-7.4
